Word,FREQcount
con,14
pie,13
rout,13
dub,12
stale,12
post,12
pink,11
hack,11
ben,11
rake,11
stank,11
pop,11
bow,11
prop,11
dun,11
tip,11
low,10
foil,10
xxx,10
dag,10
rip,10
bum,10
fine,10
mat,10
rack,10
peel,10
mush,10
het,9
port,9
bat,9
poop,9
fell,9
lay,9
spat,9
long,9
drill,9
pet,9
slash,9
chop,9
buck,9
kip,9
rem,9
rime,9
pap,9
like,9
sup,9
butt,9
click,9
shag,9
hock,9
pug,9
ruff,9
sod,9
tat,9
drab,9
fret,9
clam,9
bush,9
chuck,9
one,8
rape,8
lol,8
say,8
albanian,8
pip,8
cock,8
tan,8
pen,8
buff,8
bad,8
sound,8
down,8
fit,8
light,8
lit,8
bull,8
bog,8
brake,8
mole,8
list,8
gram,8
kin,8
bill,8
rock,8
rash,8
net,8
jib,8
punch,8
ginger,8
log,8
less,8
loo,8
tender,8
gig,8
nap,8
yuck,8
gib,8
frank,8
moot,8
nip,8
pile,8
pad,8
noodle,8
gee,8
bate,8
chuff,8
scat,8
skeet,8
champ,8
core,8
lap,8
rag,8
tut,8
gat,8
gaum,8
mum,8
shore,8
skip,8
bone,7
whatever,7
second,7
hell,7
bank,7
wall,7
last,7
jack,7
tick,7
mill,7
wax,7
good,7
maroon,7
slate,7
ray,7
vert,7
beetle,7
chat,7
race,7
bound,7
blow,7
fly,7
mow,7
leet,7
boot,7
cheese,7
stay,7
round,7
mash,7
file,7
pitch,7
paris,7
mint,7
rook,7
tar,7
way,7
plane,7
vent,7
flag,7
cant,7
peep,7
more,7
frog,7
cob,7
bark,7
ken,7
bob,7
over,7
sock,7
pro,7
chink,7
cack,7
par,7
pique,7
aye,7
plat,7
nappy,7
dang,7
grave,7
keel,7
doll,7
bay,7
scarf,7
fig,7
tush,7
toll,7
rap,7
tray,7
perk,7
bong,7
darn,7
gob,7
nicker,7
boo,7
bolo,7
chit,7
chock,7
cog,7
dow,7
fay,7
mew,7
purl,7
rick,7
aught,7
char,7
lease,7
limp,7
peck,7
pelt,7
ree,7
slack,7
souse,7
tent,7
twink,7
cobbler,7
cuff,7
plain,7
mold,7
rear,7
bosh,7
mid,7
gill,7
cat,6
pound,6
van,6
die,6
clock,6
man,6
cod,6
most,6
now,6
thou,6
